valor_transacao,num_tentativas_24h,hora_dia,distancia_ip_km,fraude
1295.11,6,12,2744.2,0
5720.67,8,1,4147.5,0
718.79,7,10,9845.2,1
9982.13,8,22,2931.2,0
4869.95,3,17,8318.5,0
6713.12,6,4,5329.7,1
5480.25,7,8,8681.5,1
6801.89,1,17,1116.2,0
5318.0,4,12,4771.3,1
1815.5,6,3,8004.3,0
5432.37,2,1,9676.7,1
7398.5,3,11,4889.3,1
4906.16,6,16,279.9,0
2614.55,4,7,2781.3,0
7922.17,5,1,3096.0,1
8650.45,8,14,5429.0,1
8685.9,9,0,5389.2,0
4444.3,7,15,4977.1,1
5605.3,1,2,9450.1,1
9403.7,5,22,9200.4,1
4058.55,3,10,8930.2,0
5903.86,3,2,4544.5,0
5933.6,7,21,3329.6,1
8059.23,5,20,735.0,0
9378.35,9,12,1095.8,1
1698.31,7,5,1902.7,0
9020.35,4,19,5669.6,1
3561.58,2,5,7964.4,0
2438.81,4,4,614.6,1
2028.32,2,15,8479.9,1
3081.01,7,21,6225.0,1
516.51,9,13,4604.4,1
6041.5,1,2,3278.1,1
7652.42,4,1,8121.0,1
135.24,2,19,5897.7,0
9199.52,2,17,8644.2,1
136.05,1,1,1127.6,0
4872.18,5,6,1551.6,0
2622.34,1,8,2762.6,1
3292.54,4,16,2328.6,0
4307.06,6,4,9938.7,1
7770.31,7,16,6696.4,0
1072.37,2,2,2327.3,0
8413.34,4,20,4327.0,0
5476.97,7,23,5214.1,1
1377.78,7,7,6135.5,1
8881.79,9,16,3357.6,0
4540.28,7,12,7863.7,0
4233.7,2,16,2855.4,0
6078.27,2,17,9374.4,0
4485.3,5,17,3180.2,0
9078.37,7,13,8079.3,0
4327.55,7,22,2654.8,0
1437.3,4,20,8229.0,0
2810.38,2,12,8388.7,1
2343.43,6,20,0.9,0
4554.52,8,18,9231.5,1
8770.68,2,3,8166.9,0
9398.47,7,7,6731.5,1
6078.81,4,6,683.9,0
6800.29,6,19,7935.3,0
9498.18,4,21,7389.1,0
6279.51,1,0,6741.9,1
5406.11,8,19,7348.4,0
3354.53,1,17,8560.7,0
1209.65,3,15,3267.8,1
4928.72,9,13,2770.1,0
7093.61,1,4,6981.3,1
4745.46,5,19,8106.1,0
5886.93,5,18,7822.2,1
8281.01,5,6,4990.6,1
1181.79,9,0,2299.4,0
4526.62,9,8,5326.9,1
4171.88,3,19,7120.8,0
7794.41,9,23,5782.3,1
4548.2,1,6,4107.4,0
9439.54,1,9,7856.1,0
4303.14,7,5,1741.2,0
4828.93,3,7,8353.5,1
7995.28,5,6,7223.4,0
4794.71,9,6,3425.9,0
8741.25,1,22,4298.3,0
6826.59,7,10,3241.3,1
9377.08,1,18,2578.4,1
5012.33,7,21,7881.5,1
6038.28,1,18,6107.9,1
241.82,4,0,4543.2,0
3778.45,2,9,1602.6,0
6666.31,5,4,9455.2,1
4981.52,5,16,6390.1,1
1024.65,8,13,7852.0,0
373.27,4,16,5430.5,0
5205.88,2,23,2652.2,1
5748.68,4,7,9452.1,0
4869.04,9,15,1870.7,1
2051.0,6,20,8254.2,1
663.43,7,20,2538.9,0
5492.27,8,11,2341.9,1
7825.65,2,7,2012.6,0
4112.6,4,6,4485.4,0
1943.27,2,8,2499.3,0
2795.17,1,15,1607.0,0
5119.35,5,15,3878.9,0
864.13,7,23,3865.6,0
2097.37,9,3,8189.9,0
6977.45,6,9,148.2,0
1953.23,6,5,5346.3,0
734.44,4,15,579.9,0
3638.52,5,0,8330.6,1
2166.6,1,18,9265.7,0
2366.37,2,12,8978.9,0
5096.44,2,8,7846.6,0
8201.26,7,11,6549.5,1
2450.34,9,14,2497.5,0
8407.21,4,23,7708.2,1
8888.57,2,6,7375.5,1
6539.08,2,23,4954.9,1
6265.7,4,21,5626.8,1
1662.69,5,8,3851.9,0
3817.55,6,3,504.5,0
8784.04,8,21,4070.4,1
3055.52,9,5,323.6,0
5826.62,8,19,7932.1,1
3795.28,8,3,8748.6,1
3901.72,8,6,5062.1,1
8651.55,7,4,6651.7,0
208.32,6,18,6541.3,0
4437.6,2,23,7639.7,1
2003.75,7,3,9452.8,1
6520.53,5,20,6585.4,1
5512.98,8,18,902.7,1
1452.28,6,5,8962.7,1
3239.45,9,14,8337.7,0
3367.26,6,12,6461.4,1
8313.8,1,1,4801.1,1
2678.1,5,10,1101.6,0
6967.75,6,12,5245.4,1
3657.97,2,1,6772.3,0
9710.01,3,1,7426.7,1
776.62,5,8,8919.1,0
2192.5,7,1,2912.8,0
3212.18,2,1,4277.5,0
1985.83,2,17,6238.3,0
8014.7,1,10,4636.1,0
2258.1,1,17,3371.4,0
8450.07,5,15,6957.7,1
2176.35,4,3,2905.5,0
9629.55,7,11,6581.9,1
1739.0,2,22,990.0,0
6953.72,3,9,5318.5,1
4812.65,8,13,1656.3,0
4554.23,3,12,5456.5,1
2382.03,8,5,2806.4,0
4928.32,9,9,6335.0,1
6349.71,3,8,344.7,0
9099.76,7,4,3053.1,1
416.98,8,2,6096.2,0
7580.96,1,14,2082.1,0
4703.23,2,0,3809.8,1
5348.73,5,11,8799.0,0
6119.85,7,11,9759.9,1
60.6,8,7,8679.7,0
9201.03,5,22,3890.1,1
426.65,6,17,3914.9,0
6368.03,4,3,1857.5,1
9704.62,4,18,6502.8,0
3409.37,1,17,7823.3,0
4775.14,7,5,6728.2,1
6834.51,9,14,9880.8,1
9106.48,5,9,8722.7,1
5848.37,4,12,8165.0,0
7551.21,5,20,7960.7,0
1846.06,9,23,7278.6,1
6173.82,5,8,9018.8,1
994.28,7,17,1537.6,0
851.96,6,1,5543.6,0
364.21,1,15,8630.6,0
7603.0,6,6,9957.6,1
3564.04,6,18,2198.0,0
7093.64,5,19,2310.2,0
8749.67,5,23,4980.9,1
2858.72,8,5,8249.0,0
8369.7,1,15,2465.3,0
9981.92,5,22,6279.8,1
2778.5,4,10,8088.6,0
8714.85,2,12,5865.8,0
7141.36,5,19,1243.9,1
1568.02,4,7,8478.6,0
1915.17,5,0,9818.1,1
7414.7,4,18,2818.6,0
6204.41,5,17,2221.8,0
1550.43,3,8,6002.8,1
7797.07,2,19,2975.4,0
6329.14,3,22,4423.0,1
9465.96,7,23,311.7,1
6375.25,2,11,3384.2,0
3041.15,6,5,9142.6,0
7294.33,4,21,959.7,0
9045.53,5,15,7440.2,1
5631.04,9,10,5291.0,1
1694.58,4,22,5013.9,0
3040.59,3,19,2212.6,0
7492.43,9,20,5632.6,1
1583.73,6,14,1627.3,0
5660.43,1,4,7727.3,0
3853.93,7,21,734.7,0
4338.87,5,6,9303.0,1
186.22,5,0,9232.5,0
7647.76,1,2,3452.2,1
3463.62,4,7,1713.6,0
1664.21,1,10,1794.7,0
1816.73,5,0,4027.2,1
1759.68,3,19,2233.4,0
2825.79,7,3,6780.2,0
698.37,2,21,3027.7,0
4626.91,2,2,280.4,1
3449.91,4,4,5640.6,0
3414.42,3,13,4765.6,1
9173.73,3,12,5479.4,1
5141.78,1,7,1825.3,0
7227.39,8,20,2766.6,1
3576.67,6,10,5364.3,0
5757.03,5,17,1676.0,0
9326.73,8,11,5697.7,1
7111.63,7,4,6154.6,1
2418.49,8,20,2120.1,0
4237.24,8,19,9722.1,1
7945.52,5,17,8482.5,0
5472.7,9,11,1169.1,1
9129.27,7,10,3902.4,0
5601.59,9,4,7597.4,1
8909.33,1,5,6193.6,0
3427.52,2,8,2471.8,0
9025.58,3,0,6157.7,0
6094.61,4,19,2223.0,0
9593.12,3,14,2342.0,1
334.62,2,22,4668.0,0
2070.64,7,14,2952.7,0
7945.36,8,16,2601.5,0
4554.02,3,6,3664.9,0
8006.3,7,21,5360.1,1
111.43,4,5,6047.4,0
2692.02,8,12,8560.5,1
4972.03,1,21,219.1,0
9957.91,6,12,5185.0,1
4601.74,6,13,2886.2,1
2706.15,4,12,899.8,1
4660.59,6,4,6911.7,1
7604.37,6,12,8304.1,0
2042.69,5,16,3020.2,0
4192.2,9,17,5236.5,1
7100.09,8,12,8621.7,0
8215.14,4,11,3325.2,0
1127.84,8,0,7606.8,1
1280.18,8,6,4864.2,0
5600.26,6,2,6414.2,0
9427.98,1,9,3850.2,0
1641.24,4,22,947.9,0
6523.04,6,8,8416.0,1
5242.55,5,9,2108.9,0
5942.94,1,22,685.4,1
9817.68,6,10,6728.4,0
7591.22,8,3,8692.5,1
3475.63,7,10,5330.5,0
655.44,9,6,6352.5,1
9327.23,7,14,6063.0,1
9107.83,7,21,7804.6,1
9802.52,2,22,5448.0,1
1034.93,1,23,2761.3,0
1963.91,7,15,4608.9,0
3603.47,5,6,4765.9,0
1380.53,5,3,2369.9,0
8178.28,6,0,2131.7,1
4388.19,6,10,8032.2,0
1587.67,2,21,7607.9,0
3040.89,8,10,4689.4,1
2863.04,4,1,7174.4,0
8367.48,8,3,8723.1,1
2052.67,5,7,3712.4,0
7618.76,1,7,2887.5,0
1428.92,7,7,9685.5,1
3034.2,6,11,9862.0,1
2479.63,1,8,5801.6,0
6832.66,4,2,4020.6,0
1102.63,2,6,1058.6,0
1897.6,4,20,8539.7,0
2671.76,9,17,6535.4,0
2053.71,7,12,8262.1,1
2808.35,5,10,5282.6,1
9413.25,4,6,4860.2,0
357.91,5,11,6245.4,0
2205.24,6,1,8965.5,0
3011.72,9,10,4316.6,0
2669.86,8,20,7417.9,0
7778.11,7,8,5173.2,1
1168.71,3,1,6769.4,1
9786.82,5,17,6914.2,1
4937.66,4,11,4867.2,0
2234.23,9,6,3077.4,0
1661.87,9,17,9405.3,0
1271.53,5,19,1165.2,0
198.31,1,18,1435.6,0
2038.64,4,8,5122.6,0
2214.41,9,3,3952.3,1
6372.01,8,9,8168.7,1
3276.72,1,7,4055.4,0
6184.61,9,20,7994.0,1
3393.46,5,16,3072.7,0
3450.22,5,17,580.8,0
8574.7,9,7,5464.9,0
3317.27,7,3,3436.3,1
398.45,2,12,830.6,0
3740.12,3,4,6213.9,0
3501.11,9,16,6038.4,0
8926.61,3,4,3256.9,0
1117.68,3,7,7705.3,1
6243.16,9,23,1420.2,0
8058.07,8,16,9785.7,0
8662.47,6,14,6031.5,1
2397.84,9,6,1878.5,0
5477.14,9,10,8967.6,1
2325.25,4,9,6621.5,1
6840.45,2,3,5311.1,1
3044.32,2,17,2995.2,0
1769.87,9,17,4001.0,0
7458.04,6,13,5501.6,1
5453.05,4,3,649.2,1
3360.89,6,2,4134.7,1
50.19,4,1,8559.5,0
2756.39,7,1,739.3,0
4171.88,5,14,8332.6,1
2484.12,7,18,4445.7,1
1415.05,9,12,2549.6,0
6134.22,4,0,5542.6,0
5518.91,6,18,5858.7,1
293.43,2,12,1556.4,0
9132.63,4,11,114.4,0
4792.4,8,16,348.2,0
6107.84,6,6,2069.8,0
110.5,3,23,9455.1,0
1178.66,9,7,6859.8,1
4667.23,7,8,9825.9,1
4111.52,3,17,7014.9,0
6802.98,1,6,5289.0,1
8429.31,6,8,2669.8,1
275.54,5,17,1979.8,1
3114.45,3,21,3761.5,0
6340.57,5,14,4651.6,1
7832.45,5,16,9434.8,1
2351.81,9,14,6780.8,1
4272.01,7,4,4037.6,1
7987.85,4,22,5326.5,1
3271.81,5,1,3518.0,0
5586.66,5,21,2163.5,0
4488.3,5,20,8608.9,1
405.13,6,1,7641.8,1
5847.21,8,20,1332.1,0
2681.89,5,21,1941.1,0
9486.39,2,10,1895.8,0
3918.75,5,13,9033.6,1
1568.67,8,12,4945.9,0
1723.69,9,6,9076.1,1
6424.2,2,7,5593.8,0
3040.56,9,17,9039.6,0
6119.32,9,0,8772.3,1
7713.49,4,11,2904.8,1
7144.32,5,16,6580.8,0
6154.21,7,21,4640.9,0
1530.93,6,20,4702.9,1
9784.07,8,0,2847.6,0
2583.65,2,23,3344.7,0
4620.56,8,4,4187.1,1
2568.07,3,19,6280.1,0
7314.27,1,11,2063.7,0
2524.68,5,17,9102.5,1
3614.98,9,4,4892.1,1
2701.32,9,17,7225.2,1
877.82,4,9,531.0,0
5351.61,9,15,6943.1,1
2209.66,9,14,6529.6,0
9768.82,3,16,8746.9,0
6595.3,9,15,1489.6,0
3154.85,1,0,2355.2,0
1187.83,4,8,4134.6,0
4760.83,3,2,9258.1,1
8454.42,8,2,8965.2,1
4594.51,8,17,3418.3,0
5525.8,1,15,7917.1,0
485.36,1,23,7686.0,1
7709.34,8,15,7915.6,1
2800.02,7,5,6636.5,0
4904.81,2,9,8105.7,1
8363.07,8,1,3847.7,1
7678.62,9,6,4702.4,1
80.91,2,23,7806.5,1
5845.44,3,2,5873.7,1
1638.05,6,11,1490.7,0
4315.01,4,8,6998.7,0
823.77,3,10,271.7,0
8372.14,6,13,6341.1,0
9330.37,3,5,2298.9,1
3963.53,5,4,8647.7,1
7718.21,2,12,7063.3,1
5443.81,8,9,7277.3,1
3871.04,4,10,76.7,0
224.68,4,15,8095.9,0
9536.64,3,20,715.7,0
5424.58,7,6,4427.0,1
8690.5,3,6,9114.0,1
3552.58,7,22,4078.7,0
8820.22,6,0,1829.3,1
1422.17,6,1,7532.2,0
3770.88,6,21,2049.0,1
2897.73,8,12,7085.2,0
2751.88,9,21,4299.7,1
5305.16,7,3,4592.6,1
5147.89,9,18,7462.0,0
3777.33,9,17,7449.6,1
9810.79,2,20,6451.3,0
2948.6,6,12,6975.1,1
6822.63,9,15,9596.4,0
9622.53,5,14,5029.4,1
6848.2,2,14,7995.6,0
1823.14,6,1,1451.4,0
3538.52,5,5,4233.5,0
8826.78,8,3,640.5,1
1339.44,6,20,220.8,0
7137.49,9,3,6487.8,1
3242.53,1,0,624.0,0
2491.13,5,8,6431.2,0
9379.82,1,12,6681.3,0
2369.09,8,20,3671.4,1
2769.19,9,13,2053.5,1
690.14,7,2,7791.9,0
5164.64,1,19,5890.7,1
6365.52,1,8,2886.0,0
4766.74,4,14,4490.4,1
4755.35,4,23,8883.2,1
1673.74,6,11,6456.3,1
1152.7,3,20,4082.6,0
3816.46,5,0,844.6,0
6045.88,5,21,7235.7,0
393.02,7,22,8425.1,0
7728.51,5,10,8982.5,1
16.8,4,5,5665.5,0
9904.84,3,11,6324.7,0
8863.14,6,17,9796.7,1
8237.42,7,22,1665.7,1
7454.88,1,8,6690.2,1
5672.71,7,19,7619.5,0
9600.75,8,11,4866.2,1
6529.88,8,2,3930.2,1
9546.21,5,11,2504.1,0
1597.79,2,23,4041.1,1
4763.85,7,17,9894.5,1
6586.29,6,7,2502.9,1
2475.03,4,23,5037.9,1
6203.38,1,14,2706.9,0
2540.22,1,13,833.9,0
1262.7,7,6,9081.5,1
1741.2,2,9,1589.8,0
7580.77,8,16,204.4,0
3550.55,4,15,1836.9,0
8249.28,8,20,5742.2,1
2486.03,7,13,8634.2,0
2487.64,4,21,8280.7,1
1136.0,4,6,8360.0,0
746.55,6,20,1365.8,0
6268.92,7,10,5608.2,1
3327.2,3,11,4368.8,0
1238.91,6,9,1016.1,0
4460.77,7,22,2026.0,1
353.81,6,9,8858.5,0
4671.26,9,6,4254.4,1
2897.01,6,18,1599.6,0
714.53,4,1,4936.3,0
7697.85,7,20,5381.4,1
8654.8,8,15,9534.5,1
5415.72,5,22,6340.5,0
4354.0,4,0,795.8,0
6119.04,3,12,2648.5,0
6490.2,8,5,8429.4,0
9002.46,4,5,2600.6,0
7010.73,9,22,3402.7,0
5754.19,8,19,7526.2,1
993.21,6,6,8286.5,0
3164.68,3,6,5181.1,0
7573.26,4,13,2633.9,0
9221.73,8,23,2522.9,1
3962.99,9,19,1811.4,0
3151.99,9,20,625.1,1
2312.12,5,10,6143.2,1
73.12,6,9,5400.6,0
3504.89,1,10,6272.9,0
1005.8,9,5,5303.3,0
9445.18,2,17,4973.5,1
3302.02,9,7,1087.8,1
6305.77,3,5,6713.5,1
7186.59,3,11,689.8,0
9612.94,3,8,18.6,1
9245.37,8,9,9709.2,0
1492.28,2,2,8011.1,0
5207.04,8,21,3383.6,0
8536.48,2,4,6015.4,1
9743.41,5,0,7247.2,1
1071.37,5,1,1962.2,1
733.49,1,17,7661.3,0
586.05,7,11,3980.1,0
6510.1,3,17,9511.3,0
3756.69,9,3,9300.8,0
2167.82,1,16,1325.6,0
260.77,5,14,9887.7,0
3626.8,3,12,2776.9,0
7210.7,8,13,9648.0,1
4427.34,6,19,6278.2,1
8155.78,7,15,7112.7,1
3299.84,9,0,9332.7,1
6917.37,5,21,9504.3,1
2781.16,7,19,5188.1,0
2027.01,3,20,1492.3,0
2022.38,8,9,2114.9,0
1985.78,8,11,7946.5,0
9141.34,5,0,1614.5,1
6820.11,2,17,4221.8,1
5336.4,6,2,4591.8,1
7295.79,7,1,9926.6,1
1776.13,2,22,4392.8,0
1548.93,9,14,9933.8,1
2819.65,4,19,7215.5,0
3821.1,9,0,1577.5,0
767.46,7,22,2999.8,0
3861.98,5,15,9442.4,1
5594.95,2,0,6321.4,1
5534.27,4,16,606.5,0
5490.39,5,12,1633.6,0
6982.65,9,16,8263.3,1
4388.49,6,4,8575.3,1
3753.09,9,6,9104.3,0
9696.66,6,8,7233.6,0
1869.22,4,4,7406.9,0
6364.08,8,2,9439.7,0
4216.0,3,2,1125.5,1
9148.64,3,6,6015.3,1
2062.95,8,8,7309.3,1
5645.32,3,9,4869.7,1
4134.58,4,2,407.2,1
332.79,8,1,7973.3,1
9789.05,5,21,2739.7,0
5533.31,6,2,7368.0,1
1144.4,9,21,971.0,0
2487.11,3,18,9241.9,1
8458.32,5,15,6843.0,0
5141.69,7,0,1548.0,1
2188.39,9,9,4931.6,1
1949.99,5,11,5017.7,0
9482.44,9,4,7084.8,1
2372.71,8,20,6044.4,0
9411.22,5,12,635.8,0
1378.18,1,15,731.9,0
5406.12,6,4,8756.3,1
5016.99,7,9,9606.5,0
2835.75,7,19,1994.0,0
4063.63,7,8,7499.2,1
1228.63,5,3,8152.4,0
8437.91,9,13,9680.2,1
4709.64,7,1,1917.0,1
9272.25,8,11,6357.2,0
3097.01,7,3,3036.0,0
9237.27,3,4,6381.5,0
4117.68,4,22,1996.4,0
9731.66,5,12,4728.1,0
94.14,9,15,5703.8,0
2481.11,1,13,4078.9,0
1441.88,7,5,991.8,1
4396.35,7,12,4836.4,0
821.79,9,22,7491.0,0
4343.32,3,0,7208.8,0
3854.15,5,11,5364.8,0
385.78,5,12,1738.4,0
8057.9,1,1,1935.4,1
4108.64,1,14,967.0,0
5401.05,3,6,7873.9,0
7792.95,2,3,2704.1,0
1533.64,5,3,9916.0,1
5562.74,2,14,7174.2,0
2612.01,7,15,5168.8,1
1297.31,4,16,2414.2,0
4462.91,5,6,8683.7,0
9853.36,7,17,9800.8,0
2628.78,9,13,671.1,0
384.54,9,4,3584.4,1
4996.98,7,20,817.6,0
7550.2,7,8,4403.9,1
2237.16,6,8,9780.4,0
3849.79,6,15,3664.2,1
2176.21,4,10,9827.6,1
9429.09,3,20,2129.2,0
4271.89,7,1,1566.6,1
4194.3,2,15,5692.4,0
7044.91,1,13,1470.8,0
8071.4,1,23,433.7,0
7767.39,9,22,6041.3,1
3080.71,4,12,6704.1,0
4644.47,2,21,7647.2,1
146.4,4,4,2641.5,1
8102.99,8,2,1769.0,1
4545.58,9,5,224.3,0
7686.39,3,13,9594.7,1
1580.22,9,7,8993.2,0
2744.38,8,14,992.8,0
6953.11,7,1,8005.2,1
6246.82,4,21,9595.2,0
6957.67,6,15,8301.1,1
9474.58,5,14,838.3,0
2397.35,9,6,837.8,0
5850.72,6,19,474.9,0
242.33,8,12,1266.3,0
8360.23,6,3,5139.8,1
2159.44,6,1,4038.6,1
8025.74,1,21,8516.2,1
9277.68,9,4,1037.0,1
3885.84,5,2,8192.4,1
6567.65,2,20,6990.3,1
231.49,2,18,9420.3,0
9959.03,6,13,6105.1,0
839.54,9,1,6814.4,0
7352.57,4,23,7379.8,0
2067.48,5,10,6671.1,0
47.43,5,16,2261.1,1
9152.94,2,19,516.4,1
1286.15,2,3,6093.5,1
2340.29,8,9,7014.7,1
1631.73,2,16,4056.8,0
8038.22,5,18,372.8,0
4795.22,4,13,4309.9,1
5236.81,7,11,4622.8,1
9530.82,5,3,44.2,1
9545.81,7,6,5822.0,1
5578.98,8,7,3296.2,0
6733.42,2,23,9202.9,1
6543.55,9,2,2448.7,1
284.24,3,3,9927.2,0
6085.86,7,21,6796.6,0
6925.91,2,9,4101.7,0
8623.51,2,20,4213.2,1
567.08,9,20,7783.6,1
6655.88,2,23,6602.2,0
6033.36,9,19,3673.4,0
8818.98,6,7,5700.0,1
885.77,3,22,7971.5,0
9894.95,2,3,5137.6,0
8762.33,5,15,491.7,0
870.08,9,18,3776.3,0
3107.57,7,3,9203.7,0
8942.28,2,16,8578.1,1
7778.3,2,14,2356.1,0
1461.6,7,4,6046.5,0
2102.55,2,16,7443.8,0
1532.05,6,14,1669.0,1
9001.03,3,5,8108.3,1
4895.9,7,23,5711.8,0
8023.51,9,22,1509.3,1
5227.3,9,4,2487.0,0
9398.09,1,7,3169.1,0
6448.29,7,23,9094.0,1
8013.67,2,5,16.5,1
587.65,9,13,6671.2,0
381.01,6,8,3105.0,0
2341.92,9,10,6448.7,0
5249.08,3,22,3171.5,0
8132.68,6,5,9877.6,1
2741.26,8,6,8910.3,0
7012.93,9,17,6721.6,1
2159.66,4,11,9443.8,1
9191.95,4,15,3396.3,0
8111.4,8,17,5751.2,1
5278.04,4,23,3491.2,0
2873.86,4,10,7152.6,0
6556.26,8,15,6907.5,1
2695.14,4,14,2526.7,0
5775.9,8,23,6441.0,0
7094.54,3,8,9227.1,1
8468.24,4,8,6532.4,0
9992.33,2,12,4116.7,1
5798.97,9,8,6506.3,1
1207.38,8,19,5063.2,0
2365.24,7,9,6277.5,0
7512.85,3,14,9324.4,0
3239.87,1,12,5397.6,1
1712.03,6,3,6082.2,1
4718.06,1,14,9987.7,1
3304.08,4,6,272.3,0
4027.9,5,1,3992.3,1
712.75,5,8,5104.1,0
4658.24,2,1,7563.7,0
7720.57,1,19,4351.6,1
8587.71,7,13,2273.3,0
8342.81,1,13,3424.7,0
3978.94,8,3,4438.5,1
1515.43,4,4,874.0,0
6797.68,2,15,8444.3,0
747.71,4,21,3274.9,0
5731.01,4,15,8916.5,1
7732.66,1,18,132.2,0
6938.36,5,6,3740.6,1
1049.16,5,20,6750.4,0
7264.33,4,5,7816.4,1
5587.82,2,5,7586.9,0
8747.56,8,18,8129.1,1
8279.05,6,2,6678.1,1
8689.34,2,18,7507.0,1
7900.39,7,11,5076.8,1
2965.03,5,22,6026.0,0
9724.28,4,3,1065.9,1
8094.58,5,10,5444.6,0
9203.27,6,4,5037.6,0
1598.85,7,6,3447.4,0
509.77,9,8,8235.2,1
7693.01,1,15,8880.0,0
4066.76,3,13,9689.7,0
5522.78,7,3,5166.4,1
4415.04,6,2,6004.7,1
4649.59,8,11,9010.8,1
604.68,4,23,1709.1,0
7898.38,9,23,7395.4,1
1454.06,4,21,4229.2,0
7224.27,7,16,5020.7,1
5632.74,2,21,7874.0,1
807.78,6,16,3770.8,0
2413.32,2,14,577.1,0
2719.06,8,8,3588.0,0
2556.76,2,1,5566.0,1
1888.94,5,3,3917.9,0
8842.94,6,20,6439.9,1
6341.15,9,11,2422.5,0
3563.42,1,11,2236.0,0
944.96,9,22,1548.1,0
2836.74,9,9,5978.9,0
3440.02,6,8,3698.5,0
6412.3,5,10,8318.7,1
2055.18,1,19,6727.0,0
4432.75,6,13,1828.1,1
8906.71,7,0,1830.0,1
4746.39,6,19,8616.1,1
2759.73,2,2,4767.3,0
4015.15,4,12,7716.5,1
9940.36,1,6,6567.3,1
4818.76,7,14,7809.4,1
6970.72,2,10,8203.3,1
7399.14,4,3,3284.4,0
281.43,8,19,9770.7,1
4694.71,2,4,5392.8,0
5678.12,2,15,4784.4,1
9303.36,1,18,7967.5,1
1575.19,7,4,7917.5,1
9320.95,9,4,2703.9,1
3590.62,8,6,9849.5,1
5259.96,8,7,3334.1,0
9469.45,8,22,5442.7,1
3917.81,1,16,5608.1,0
8524.97,1,7,672.9,0
9457.26,6,12,8992.4,1
1620.95,2,15,9490.7,0
6401.04,4,20,2938.0,1
9052.28,2,2,2168.2,0
1318.19,8,11,6617.2,0
3772.82,6,2,5070.3,0
8762.13,5,16,9877.6,0
4094.18,1,9,2544.6,1
4402.48,9,5,3979.8,0
5573.53,4,0,7050.0,1
3009.47,4,18,560.9,0
1529.68,9,2,8047.6,1
9207.01,3,1,1199.9,1
9762.6,3,1,8959.2,1
4840.71,8,6,4084.6,1
4816.49,7,10,293.5,0
760.87,8,22,2323.6,0
4492.26,2,4,1092.1,0
454.57,6,18,6857.5,1
4862.81,5,15,7648.7,1
5339.7,8,6,8589.2,1
9973.76,3,7,4559.0,0
4161.17,5,0,8055.2,0
234.99,6,16,1974.4,0
7962.19,1,5,8489.5,1
4501.31,7,1,8490.1,1
2106.02,8,12,747.0,1
2539.83,3,23,9230.9,0
7820.98,4,13,1006.8,0
